ram_bucket,ddr_gen,speed_mhz,capacity_gb,month,real_median_price,real_mean_price,sample_size,raw_sample_size
DDR3 1066 16GB,3,1066,16,2026-02-01,200.0,200.0,5,5
DDR3 1066 16GB,3,1066,16,2026-03-01,200.0,200.0,13,13
DDR3 1066 16GB,3,1066,16,2026-04-01,200.0,200.0,7,7
DDR3 1066 1GB,3,1066,1,2025-09-01,16.49,16.49,27,30
DDR3 1066 1GB,3,1066,1,2025-10-01,17.31,22.18,84,84
DDR3 1066 1GB,3,1066,1,2025-11-01,33.0,34.15,100,100
DDR3 1066 1GB,3,1066,1,2025-12-01,36.3,36.3,36,36
DDR3 1066 1GB,3,1066,1,2026-03-01,36.3,36.3,4,4
DDR3 1066 2GB,3,1066,2,2025-09-01,14.29,14.29,9,9
DDR3 1066 2GB,3,1066,2,2025-10-01,15.0,18.91,92,92
DDR3 1066 2GB,3,1066,2,2025-11-01,28.59,29.7,30,30
DDR3 1066 2GB,3,1066,2,2025-12-01,31.45,31.45,32,32
DDR3 1066 2GB,3,1066,2,2026-01-01,31.45,31.45,10,10
DDR3 1066 2GB,3,1066,2,2026-02-01,31.45,31.45,9,9
DDR3 1066 2GB,3,1066,2,2026-03-01,31.45,31.45,5,5
DDR3 1066 2GB,3,1066,2,2026-04-01,31.45,31.45,31,31
DDR3 1066 4GB,3,1066,4,2025-09-01,8.54,8.72,5,5
DDR3 1066 4GB,3,1066,4,2025-10-01,8.99,25.0,24,24
DDR3 1066 4GB,3,1066,4,2025-11-01,48.41,48.41,12,19
DDR3 1066 4GB,3,1066,4,2025-12-01,53.25,53.25,9,11
DDR3 1333 12GB,3,1333,12,2025-12-01,145.22,145.22,8,8
DDR3 1333 16GB,3,1333,16,2026-03-01,193.61,193.61,13,16
DDR3 1333 16GB,3,1333,16,2026-04-01,193.61,193.61,10,10
DDR3 1333 1GB,3,1333,1,2025-09-01,16.49,16.04,47,47
DDR3 1333 1GB,3,1333,1,2025-10-01,28.57,26.2,163,163
DDR3 1333 1GB,3,1333,1,2025-11-01,36.3,34.65,263,263
DDR3 1333 1GB,3,1333,1,2025-12-01,36.3,36.3,112,112
DDR3 1333 1GB,3,1333,1,2026-01-01,36.3,36.3,42,42
DDR3 1333 1GB,3,1333,1,2026-02-01,36.3,36.3,95,95
DDR3 1333 1GB,3,1333,1,2026-03-01,36.3,36.3,99,99
DDR3 1333 1GB,3,1333,1,2026-04-01,36.3,36.3,148,148
DDR3 1333 1GB,3,1333,1,2026-05-01,36.3,36.3,17,17
DDR3 1333 2GB,3,1333,2,2025-09-01,14.29,14.25,20,32
DDR3 1333 2GB,3,1333,2,2025-10-01,24.0,21.54,111,111
DDR3 1333 2GB,3,1333,2,2025-11-01,31.45,30.04,169,193
DDR3 1333 2GB,3,1333,2,2025-12-01,31.45,31.45,206,210
DDR3 1333 2GB,3,1333,2,2026-01-01,31.45,31.45,134,134
DDR3 1333 2GB,3,1333,2,2026-02-01,31.45,31.45,241,253
DDR3 1333 2GB,3,1333,2,2026-03-01,31.45,31.45,332,364
DDR3 1333 2GB,3,1333,2,2026-04-01,31.45,31.45,345,400
DDR3 1333 2GB,3,1333,2,2026-05-01,31.45,31.45,52,62
DDR3 1333 4GB,3,1333,4,2025-09-01,21.99,22.83,58,63
DDR3 1333 4GB,3,1333,4,2025-10-01,30.01,30.69,173,173
DDR3 1333 4GB,3,1333,4,2025-11-01,48.41,46.58,162,182
DDR3 1333 4GB,3,1333,4,2025-12-01,48.41,48.41,124,143
DDR3 1333 4GB,3,1333,4,2026-01-01,48.41,42.52,102,102
DDR3 1333 4GB,3,1333,4,2026-02-01,48.41,52.94,132,153
DDR3 1333 4GB,3,1333,4,2026-03-01,55.0,54.55,200,218
DDR3 1333 4GB,3,1333,4,2026-04-01,48.41,49.43,254,254
DDR3 1333 4GB,3,1333,4,2026-05-01,48.41,51.18,36,36
DDR3 1333 6GB,3,1333,6,2025-09-01,42.87,42.87,5,5
DDR3 1333 6GB,3,1333,6,2025-10-01,56.27,55.37,12,12
DDR3 1333 6GB,3,1333,6,2025-12-01,94.37,94.37,12,12
DDR3 1333 6GB,3,1333,6,2026-01-01,94.37,94.37,8,8
DDR3 1333 6GB,3,1333,6,2026-02-01,94.37,94.37,36,36
DDR3 1333 6GB,3,1333,6,2026-03-01,94.37,94.37,30,30
DDR3 1333 6GB,3,1333,6,2026-04-01,94.37,94.37,31,31
DDR3 1333 6GB,3,1333,6,2026-05-01,94.37,94.37,6,6
DDR3 1333 8GB,3,1333,8,2025-10-01,22.54,24.24,10,10
DDR3 1333 8GB,3,1333,8,2025-12-01,33.88,33.88,6,7
DDR3 1333 8GB,3,1333,8,2026-01-01,37.27,37.27,15,17
DDR3 1333 8GB,3,1333,8,2026-02-01,37.27,37.27,46,47
DDR3 1333 8GB,3,1333,8,2026-03-01,25.99,30.07,47,47
DDR3 1333 8GB,3,1333,8,2026-04-01,25.99,25.99,44,46
DDR3 1333 8GB,3,1333,8,2026-05-01,25.99,25.99,11,11
DDR3 1600 12GB,3,1600,12,2026-04-01,35.0,35.0,10,10
DDR3 1600 12GB,3,1600,12,2026-05-01,35.0,35.0,5,5
DDR3 1600 16GB,3,1600,16,2025-09-01,43.98,43.98,5,5
DDR3 1600 16GB,3,1600,16,2025-10-01,43.98,38.28,12,12
DDR3 1600 16GB,3,1600,16,2025-11-01,31.5,31.52,30,30
DDR3 1600 16GB,3,1600,16,2025-12-01,67.76,67.76,5,6
DDR3 1600 16GB,3,1600,16,2026-02-01,193.61,193.61,18,22
DDR3 1600 16GB,3,1600,16,2026-03-01,193.61,193.61,37,42
DDR3 1600 16GB,3,1600,16,2026-04-01,193.61,147.41,18,18
DDR3 1600 2GB,3,1600,2,2025-10-01,27.23,24.13,22,22
DDR3 1600 2GB,3,1600,2,2025-11-01,30.26,29.96,73,73
DDR3 1600 2GB,3,1600,2,2025-12-01,31.45,31.45,104,110
DDR3 1600 2GB,3,1600,2,2026-01-01,31.45,31.45,82,82
DDR3 1600 2GB,3,1600,2,2026-02-01,31.45,31.45,129,167
DDR3 1600 2GB,3,1600,2,2026-03-01,31.45,31.45,147,180
DDR3 1600 2GB,3,1600,2,2026-04-01,31.45,31.45,140,142
DDR3 1600 2GB,3,1600,2,2026-05-01,31.45,31.45,20,20
DDR3 1600 32GB,3,1600,32,2025-09-01,87.96,87.96,5,5
DDR3 1600 32GB,3,1600,32,2025-10-01,87.96,100.56,7,7
DDR3 1600 32GB,3,1600,32,2025-11-01,117.35,119.7,5,5
DDR3 1600 32GB,3,1600,32,2025-12-01,135.54,135.54,6,6
DDR3 1600 4GB,3,1600,4,2025-09-01,21.99,21.17,66,66
DDR3 1600 4GB,3,1600,4,2025-10-01,34.64,30.76,279,279
DDR3 1600 4GB,3,1600,4,2025-11-01,48.41,46.33,527,535
DDR3 1600 4GB,3,1600,4,2025-12-01,48.41,48.41,364,394
DDR3 1600 4GB,3,1600,4,2026-01-01,48.41,48.41,455,549
DDR3 1600 4GB,3,1600,4,2026-02-01,48.41,48.41,744,946
DDR3 1600 4GB,3,1600,4,2026-03-01,48.41,48.41,803,964
DDR3 1600 4GB,3,1600,4,2026-04-01,48.41,48.41,757,891
DDR3 1600 4GB,3,1600,4,2026-05-01,48.41,48.41,158,177
DDR3 1600 6GB,3,1600,6,2025-10-01,67.52,57.66,5,5
DDR3 1600 6GB,3,1600,6,2025-12-01,94.37,94.37,7,7
DDR3 1600 6GB,3,1600,6,2026-02-01,94.37,94.37,12,12
DDR3 1600 6GB,3,1600,6,2026-03-01,94.37,94.37,11,11
DDR3 1600 6GB,3,1600,6,2026-04-01,94.37,94.37,15,15
DDR3 1600 6GB,3,1600,6,2026-05-01,94.37,94.37,6,6
DDR3 1600 8GB,3,1600,8,2025-09-01,21.99,22.12,41,51
DDR3 1600 8GB,3,1600,8,2025-10-01,28.99,31.63,86,86
DDR3 1600 8GB,3,1600,8,2025-11-01,31.87,32.25,70,104
DDR3 1600 8GB,3,1600,8,2025-12-01,33.88,33.88,148,179
DDR3 1600 8GB,3,1600,8,2026-01-01,37.27,36.21,192,249
DDR3 1600 8GB,3,1600,8,2026-02-01,37.27,37.27,313,406
DDR3 1600 8GB,3,1600,8,2026-03-01,25.99,27.63,306,358
DDR3 1600 8GB,3,1600,8,2026-04-01,25.99,24.64,345,439
DDR3 1600 8GB,3,1600,8,2026-05-01,25.99,25.99,71,109
DDR3 1866 16GB,3,1866,16,2025-10-01,25.09,25.09,8,10
DDR3 1866 16GB,3,1866,16,2026-01-01,48.44,48.44,8,8
DDR3 1866 16GB,3,1866,16,2026-04-01,48.44,48.44,25,25
DDR3 1866 16GB,3,1866,16,2026-05-01,48.44,48.44,7,7
DDR3 1866 4GB,3,1866,4,2025-10-01,56.58,52.46,30,31
DDR3 1866 4GB,3,1866,4,2025-11-01,59.41,58.28,15,18
DDR3 1866 4GB,3,1866,4,2025-12-01,65.35,65.35,16,16
DDR3 1866 4GB,3,1866,4,2026-01-01,65.35,65.35,30,30
DDR3 1866 4GB,3,1866,4,2026-02-01,65.35,65.35,57,67
DDR3 1866 4GB,3,1866,4,2026-03-01,65.35,65.35,70,70
DDR3 1866 4GB,3,1866,4,2026-04-01,65.35,65.35,58,58
DDR3 1866 4GB,3,1866,4,2026-05-01,65.35,65.35,7,7
DDR3 1866 8GB,3,1866,8,2026-03-01,26.0,25.48,19,19
DDR3 1866 8GB,3,1866,8,2026-04-01,24.21,24.88,16,16
DDR3 2400 8GB,3,2400,8,2026-04-01,26.0,26.0,20,20
DDR3 2400 8GB,3,2400,8,2026-05-01,26.0,26.0,6,6
DDR4 2133 16GB,4,2133,16,2025-11-01,89.95,89.95,12,14
DDR4 2133 16GB,4,2133,16,2025-12-01,114.95,113.76,30,39
DDR4 2133 16GB,4,2133,16,2026-01-01,67.99,68.72,17,22
DDR4 2133 16GB,4,2133,16,2026-02-01,67.99,88.64,3,3
DDR4 2133 16GB,4,2133,16,2026-03-01,133.06,126.4,8,10
DDR4 2133 16GB,4,2133,16,2026-04-01,152.95,152.95,8,9
DDR4 2133 16GB,4,2133,16,2026-05-01,120.99,131.64,3,3
DDR4 2133 4GB,4,2133,4,2025-09-01,19.79,20.36,7,7
DDR4 2133 4GB,4,2133,4,2025-10-01,22.86,24.58,25,26
DDR4 2133 4GB,4,2133,4,2025-11-01,29.05,28.66,7,7
DDR4 2133 4GB,4,2133,4,2025-12-01,32.94,33.91,27,29
DDR4 2133 4GB,4,2133,4,2026-01-01,36.23,36.23,20,29
DDR4 2133 4GB,4,2133,4,2026-02-01,43.48,47.16,25,25
DDR4 2133 4GB,4,2133,4,2026-03-01,54.35,47.59,36,36
DDR4 2133 4GB,4,2133,4,2026-04-01,54.35,47.23,65,65
DDR4 2133 4GB,4,2133,4,2026-05-01,54.35,54.35,13,14
DDR4 2133 8GB,4,2133,8,2025-09-01,41.95,41.95,15,17
DDR4 2133 8GB,4,2133,8,2025-10-01,38.44,38.26,12,13
DDR4 2133 8GB,4,2133,8,2025-11-01,52.95,51.24,75,79
DDR4 2133 8GB,4,2133,8,2025-12-01,54.33,60.47,41,41
DDR4 2133 8GB,4,2133,8,2026-01-01,68.95,68.95,24,30
DDR4 2133 8GB,4,2133,8,2026-02-01,79.95,74.63,51,63
DDR4 2133 8GB,4,2133,8,2026-03-01,96.95,96.95,71,88
DDR4 2133 8GB,4,2133,8,2026-04-01,63.99,73.15,36,36
DDR4 2133 8GB,4,2133,8,2026-05-01,63.99,63.99,8,9
DDR4 2400 16GB,4,2400,16,2025-10-01,66.53,54.92,23,23
DDR4 2400 16GB,4,2400,16,2025-11-01,30.75,51.58,44,44
DDR4 2400 16GB,4,2400,16,2025-12-01,114.95,114.95,35,41
DDR4 2400 16GB,4,2400,16,2026-01-01,129.95,129.95,9,12
DDR4 2400 16GB,4,2400,16,2026-02-01,168.95,150.05,12,12
DDR4 2400 16GB,4,2400,16,2026-03-01,152.95,132.44,46,46
DDR4 2400 16GB,4,2400,16,2026-04-01,152.95,152.95,43,48
DDR4 2400 16GB,4,2400,16,2026-05-01,152.95,128.73,26,26
DDR4 2400 32GB,4,2400,32,2025-12-01,125.0,125.0,4,4
DDR4 2400 32GB,4,2400,32,2026-01-01,155.0,155.0,4,4
DDR4 2400 4GB,4,2400,4,2025-09-01,41.57,41.57,5,8
DDR4 2400 4GB,4,2400,4,2025-10-01,45.73,45.23,17,17
DDR4 2400 4GB,4,2400,4,2025-11-01,51.12,52.7,15,15
DDR4 2400 4GB,4,2400,4,2025-12-01,57.97,59.09,13,17
DDR4 2400 4GB,4,2400,4,2026-01-01,16.95,30.13,33,33
DDR4 2400 4GB,4,2400,4,2026-02-01,44.95,50.52,33,33
DDR4 2400 4GB,4,2400,4,2026-03-01,44.95,57.04,23,23
DDR4 2400 4GB,4,2400,4,2026-04-01,108.96,100.79,101,101
DDR4 2400 4GB,4,2400,4,2026-05-01,108.96,96.72,22,22
DDR4 2400 8GB,4,2400,8,2025-09-01,31.67,31.39,16,20
DDR4 2400 8GB,4,2400,8,2025-10-01,18.49,18.49,10,12
DDR4 2400 8GB,4,2400,8,2025-11-01,52.95,51.7,32,37
DDR4 2400 8GB,4,2400,8,2025-12-01,68.95,64.33,19,20
DDR4 2400 8GB,4,2400,8,2026-01-01,134.95,123.09,22,22
DDR4 2400 8GB,4,2400,8,2026-02-01,134.95,134.95,24,32
DDR4 2400 8GB,4,2400,8,2026-03-01,97.95,97.5,33,59
DDR4 2400 8GB,4,2400,8,2026-04-01,96.95,75.45,63,63
DDR4 2400 8GB,4,2400,8,2026-05-01,71.47,71.47,16,16
DDR4 2666 16GB,4,2666,16,2025-09-01,84.99,84.99,12,12
DDR4 2666 16GB,4,2666,16,2025-10-01,53.99,55.11,25,26
DDR4 2666 16GB,4,2666,16,2025-11-01,67.99,68.57,21,27
DDR4 2666 16GB,4,2666,16,2025-12-01,93.32,95.26,13,15
DDR4 2666 16GB,4,2666,16,2026-01-01,95.0,104.82,25,25
DDR4 2666 16GB,4,2666,16,2026-02-01,110.24,129.23,29,29
DDR4 2666 16GB,4,2666,16,2026-03-01,110.24,111.66,47,52
DDR4 2666 16GB,4,2666,16,2026-04-01,121.99,121.99,27,34
DDR4 2666 16GB,4,2666,16,2026-05-01,121.99,121.99,6,6
DDR4 2666 32GB,4,2666,32,2025-09-01,79.0,79.0,13,13
DDR4 2666 32GB,4,2666,32,2025-10-01,90.0,90.0,15,17
DDR4 2666 32GB,4,2666,32,2025-12-01,249.44,304.48,3,3
DDR4 2666 32GB,4,2666,32,2026-01-01,169.95,173.21,11,13
DDR4 2666 32GB,4,2666,32,2026-02-01,155.0,156.36,11,13
DDR4 2666 32GB,4,2666,32,2026-03-01,185.0,194.25,4,4
DDR4 2666 4GB,4,2666,4,2025-09-01,46.19,47.73,15,15
DDR4 2666 4GB,4,2666,4,2025-10-01,53.35,55.26,36,36
DDR4 2666 4GB,4,2666,4,2025-11-01,71.01,70.18,9,11
DDR4 2666 4GB,4,2666,4,2025-12-01,61.5,61.5,5,6
DDR4 2666 4GB,4,2666,4,2026-01-01,80.71,74.44,19,19
DDR4 2666 4GB,4,2666,4,2026-03-01,30.0,30.0,13,14
DDR4 2666 4GB,4,2666,4,2026-04-01,62.49,62.49,14,16
DDR4 2666 64GB,4,2666,64,2026-04-01,315.99,315.99,3,3
DDR4 2666 8GB,4,2666,8,2025-10-01,40.33,32.56,24,25
DDR4 2666 8GB,4,2666,8,2025-11-01,24.99,32.31,43,43
DDR4 2666 8GB,4,2666,8,2025-12-01,24.99,24.99,20,22
DDR4 2666 8GB,4,2666,8,2026-01-01,69.04,69.04,21,26
DDR4 2666 8GB,4,2666,8,2026-02-01,69.04,69.04,3,4
DDR4 2666 8GB,4,2666,8,2026-03-01,68.99,59.61,36,36
DDR4 2666 8GB,4,2666,8,2026-04-01,44.99,50.72,29,29
DDR4 2666 8GB,4,2666,8,2026-05-01,44.99,52.82,17,17
DDR4 288 32GB,4,288,32,2025-12-01,437.5,431.0,4,4
DDR4 2933 16GB,4,2933,16,2025-11-01,44.99,44.99,5,6
